2023-09-01 11:09:576 INFO  ManageDriver :33 - Launching Chrome Browser
2023-09-01 11:09:589 INFO  HomePage :23 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0fd283a88b62f4d2ae90ce8cdb6e2561)] -> xpath: //h2[@class='uk-light uk-margin-remove-top sda-hero-heading uk-visible@s']]
2023-09-01 11:09:615 INFO  HomePage :33 - Clicking on Orbi button : [[ChromeDriver: chrome on WINDOWS (0fd283a88b62f4d2ae90ce8cdb6e2561)] -> xpath: //body/div[1]/div[1]/nav[1]/div[3]/div[1]/div[2]/a[1]/img[1]]
2023-09-01 11:09:720 INFO  OrbiPage :30 - Verifying presence of sign in button : [[ChromeDriver: chrome on WINDOWS (0fd283a88b62f4d2ae90ce8cdb6e2561)] -> xpath: //button[contains(text(),'Sign in')]]
2023-09-01 11:09:760 INFO  OrbiPage :43 - Entering Email : [[ChromeDriver: chrome on WINDOWS (0fd283a88b62f4d2ae90ce8cdb6e2561)] -> xpath: //input[@name='email']]
2023-09-01 11:09:802 INFO  OrbiPage :52 - Entering Password : [[ChromeDriver: chrome on WINDOWS (0fd283a88b62f4d2ae90ce8cdb6e2561)] -> xpath: //input[@name='password']]
2023-09-01 11:09:261 INFO  OrbiPage :60 - Verifying Error Message : [[ChromeDriver: chrome on WINDOWS (0fd283a88b62f4d2ae90ce8cdb6e2561)] -> xpath: //li[contains(text(),'Wrong credentials')]]
2023-09-01 11:09:903 INFO  ManageDriver :33 - Launching Chrome Browser
2023-09-01 11:09:01 INFO  HomePage :23 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //h2[@class='uk-light uk-margin-remove-top sda-hero-heading uk-visible@s']]
2023-09-01 11:09:21 INFO  HomePage :42 - Clicking on View All Profiles button : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //a[contains(text(),'View all profiles')]]
2023-09-01 11:09:284 INFO  StaffProfilesPage :21 - Verifying navigation to staff profiles tab : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //h1[contains(text(),'Staff Profiles')]]
2023-09-01 11:09:301 INFO  StaffProfilesPage :34 - Clicking Dropdown : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //select[@class='uk-select uk-form-width-medium uk-text-primary']]
2023-09-01 11:09:346 INFO  StaffProfilesPage :39 - Selecting SilverDoor Executive Team : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //option[contains(text(),'SilverDoor Executive Team')]]
2023-09-01 11:09:391 INFO  StaffProfilesPage :48 - Clicking on Hanish Vithal : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //strong[contains(text(),'Hanish Vithal')]]
2023-09-01 11:09:742 INFO  HanishVithalPage :21 - Verifying navigation to Hanish Vithal profile : [[ChromeDriver: chrome on WINDOWS (5148262e713cbe061cdade2c0c8661b9)] -> xpath: //h1[contains(text(),'Hanish Vithal')]]
2023-09-04 09:09:345 INFO  ManageDriver :33 - Launching Chrome Browser
2023-09-04 09:09:418 INFO  HomePage :23 - Getting text from : [[ChromeDriver: chrome on WINDOWS (78e2785367757ee7f7c9fa2cb1a2eabf)] -> xpath: //h2[@class='uk-light uk-margin-remove-top sda-hero-heading uk-visible@s']]
2023-09-04 09:09:442 INFO  HomePage :33 - Clicking on Orbi button : [[ChromeDriver: chrome on WINDOWS (78e2785367757ee7f7c9fa2cb1a2eabf)] -> xpath: //body/div[1]/div[1]/nav[1]/div[3]/div[1]/div[2]/a[1]/img[1]]
2023-09-04 09:09:547 INFO  OrbiPage :30 - Verifying presence of sign in button : [[ChromeDriver: chrome on WINDOWS (78e2785367757ee7f7c9fa2cb1a2eabf)] -> xpath: //button[contains(text(),'Sign in')]]
2023-09-04 09:09:594 INFO  OrbiPage :43 - Entering Email : [[ChromeDriver: chrome on WINDOWS (78e2785367757ee7f7c9fa2cb1a2eabf)] -> xpath: //input[@name='email']]
2023-09-04 09:09:640 INFO  OrbiPage :52 - Entering Password : [[ChromeDriver: chrome on WINDOWS (78e2785367757ee7f7c9fa2cb1a2eabf)] -> xpath: //input[@name='password']]
2023-09-04 09:09:929 INFO  OrbiPage :60 - Verifying Error Message : [[ChromeDriver: chrome on WINDOWS (78e2785367757ee7f7c9fa2cb1a2eabf)] -> xpath: //li[contains(text(),'Wrong credentials')]]
2023-09-04 09:09:614 INFO  ManageDriver :33 - Launching Chrome Browser
2023-09-04 09:09:720 INFO  HomePage :23 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //h2[@class='uk-light uk-margin-remove-top sda-hero-heading uk-visible@s']]
2023-09-04 09:09:741 INFO  HomePage :42 - Clicking on View All Profiles button : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //a[contains(text(),'View all profiles')]]
2023-09-04 09:09:655 INFO  StaffProfilesPage :21 - Verifying navigation to staff profiles tab : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //h1[contains(text(),'Staff Profiles')]]
2023-09-04 09:09:672 INFO  StaffProfilesPage :34 - Clicking Dropdown : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //select[@class='uk-select uk-form-width-medium uk-text-primary']]
2023-09-04 09:09:712 INFO  StaffProfilesPage :39 - Selecting SilverDoor Executive Team : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //option[contains(text(),'SilverDoor Executive Team')]]
2023-09-04 09:09:797 INFO  StaffProfilesPage :48 - Clicking on Hanish Vithal : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //strong[contains(text(),'Hanish Vithal')]]
2023-09-04 09:09:155 INFO  HanishVithalPage :21 - Verifying navigation to Hanish Vithal profile : [[ChromeDriver: chrome on WINDOWS (5419da005dfc666dff0e8134cd2e88a8)] -> xpath: //h1[contains(text(),'Hanish Vithal')]]
